,ID_current,found_bccwj_file,found_bccwj_start,wrong,correct_bccwj_file,correct_bccwj_start,match_score,levenshtein
56,61_BCCWJ-ABC-aa-simple,LBl9_00015,13700.0,NaN,NaN,NaN,248.7186896,1.0
57,62_BCCWJ-ABC-aa-simple,LBn2_00008,34380.0,NaN,NaN,NaN,221.5996214,0.0
58,63_BCCWJ-ABC-aa-simple,LBk9_00186,11620.0,NaN,NaN,NaN,303.8216869,0.0
59,65_BCCWJ-ABC-aa-simple,LBa9_00028,18940.0,NaN,NaN,NaN,194.4311338,10.0
60,66_BCCWJ-ABC-aa-simple,LBh3_00019,53770.0,NaN,NaN,NaN,288.7407873,0.0
61,67_BCCWJ-ABC-aa-simple,LBf3_00038,47550.0,NaN,NaN,NaN,393.2794226,1.0
62,68_BCCWJ-ABC-aa-simple,LBj9_00066,98060.0,NaN,NaN,NaN,215.9223666,1.0
63,69_BCCWJ-ABC-aa-simple,LBj3_00095,8920.0,NaN,NaN,NaN,219.0048455,0.0
64,70_BCCWJ-ABC-aa-simple,LBg9_00190,23340.0,NaN,NaN,NaN,102.9787732,7.0
65,71_BCCWJ-ABC-aa-simple,LBn4_00041,8780.0,NaN,NaN,NaN,247.5235055,0.0
66,72_BCCWJ-ABC-aa-simple,LBg9_00084,24210.0,NaN,NaN,NaN,348.3642504,0.0
67,73_BCCWJ-ABC-aa-simple,LBb9_00147,71760.0,NaN,NaN,NaN,159.9042163,0.0
68,74_BCCWJ-ABC-aa-simple,LBi8_00008,270.0,NaN,NaN,NaN,79.71737666,0.0
69,75_BCCWJ-ABC-aa-simple,LBo0_00007,81720.0,NaN,NaN,NaN,271.6174608,0.0
70,76_BCCWJ-ABC-aa-simple,LBn2_00069,48620.0,NaN,NaN,NaN,228.2244372,0.0
71,77_BCCWJ-ABC-aa-simple,LBo3_00031,5290.0,NaN,NaN,NaN,310.4728968,1.0
72,78_BCCWJ-ABC-aa-simple,LBg9_00205,56470.0,NaN,NaN,NaN,199.9749877,9.0
73,79_BCCWJ-ABC-aa-simple,LBc6_00013,93070.0,NaN,NaN,NaN,258.0785865,0.0
74,80_BCCWJ-ABC-aa-simple,LBh8_00016,4050.0,NaN,NaN,NaN,288.184508,1.0
75,81_BCCWJ-ABC-aa-simple,LBo9_00203,31070.0,NaN,NaN,NaN,188.171588,0.0
76,82_BCCWJ-ABC-aa-simple,LBm9_00100,31770.0,NaN,NaN,NaN,239.3543217,0.0
77,83_BCCWJ-ABC-aa-simple,LBe9_00208,39730.0,NaN,NaN,NaN,221.3154339,0.0
78,84_BCCWJ-ABC-aa-simple,LBc1_00015,25890.0,NaN,NaN,NaN,232.6132038,1.0
79,85_BCCWJ-ABC-aa-simple,LBn7_00063,2360.0,NaN,NaN,NaN,179.8878356,1.0
80,86_BCCWJ-ABC-aa-simple,LBa9_00026,13660.0,NaN,NaN,NaN,125.4466645,0.0
81,87_BCCWJ-ABC-aa-simple,LBi9_00098,24740.0,NaN,NaN,NaN,237.7535455,2.0
82,88_BCCWJ-ABC-aa-simple,LBl9_00080,7290.0,NaN,NaN,NaN,228.799016,0.0
83,89_BCCWJ-ABC-aa-simple,LBo2_00005,11730.0,NaN,NaN,NaN,281.5687929,0.0
84,90_BCCWJ-ABC-aa-simple,LBo2_00086,81930.0,NaN,NaN,NaN,141.3336838,0.0
85,91_BCCWJ-ABC-aa-simple,LBk5_00013,2470.0,NaN,NaN,NaN,302.8201384,1.0
86,92_BCCWJ-ABC-aa-simple,LBo9_00121,36350.0,NaN,NaN,NaN,200.5171032,0.0
87,93_BCCWJ-ABC-aa-simple,LBn3_00030,3390.0,NaN,NaN,NaN,262.7010903,0.0
88,94_BCCWJ-ABC-aa-simple,LBo9_00190,18060.0,NaN,NaN,NaN,257.4327667,1.0
89,95_BCCWJ-ABC-aa-simple,LBj3_00005,68880.0,NaN,NaN,NaN,231.82727,0.0
90,96_BCCWJ-ABC-aa-simple,LBj9_00060,18800.0,NaN,NaN,NaN,169.553506,0.0
